METHOD	ROUTE	FILE:LINE	HANDLER	PERMISSIONS	GUARDS	PUBLIC
GET	/api/v1	src/app.controller.ts:8	getHello			
GET	/api/v1/admin/biometric-submissions	src/modules/accounts/controllers/admin-biometric-review.controller.ts:44	list	account.biometric.review	JwtAuthGuard,RolesGuard,PermissionsGuard|JwtAuthGuard,RolesGuard,PermissionsGuard	
GET	/api/v1/admin/biometric-submissions/:faceProfileId	src/modules/accounts/controllers/admin-biometric-review.controller.ts:57	detail	account.biometric.review	JwtAuthGuard,RolesGuard,PermissionsGuard	
POST	/api/v1/admin/biometric-submissions/:faceProfileId/approve	src/modules/accounts/controllers/admin-biometric-review.controller.ts:89	approve	account.biometric.review	JwtAuthGuard,RolesGuard,PermissionsGuard	
GET	/api/v1/admin/biometric-submissions/:faceProfileId/download-url	src/modules/accounts/controllers/admin-biometric-review.controller.ts:71	downloadUrl	account.biometric.download	JwtAuthGuard,RolesGuard,PermissionsGuard	
POST	/api/v1/admin/biometric-submissions/:faceProfileId/reject	src/modules/accounts/controllers/admin-biometric-review.controller.ts:108	reject	account.biometric.review	JwtAuthGuard,RolesGuard,PermissionsGuard	
GET	/api/v1/admin/gate-access-logs	src/modules/zones/controllers/gate-access-log.controller.ts:63	listAll	zones.gate_log.read	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/alert-rules	src/modules/alerts/controllers/alert-rules.controller.ts:57	list	alert_rules.read	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/alert-rules	src/modules/alerts/controllers/alert-rules.controller.ts:41	create	alert_rules.create	JwtAuthGuard,PermissionsGuard|JwtAuthGuard,PermissionsGuard	
DELETE	/api/v1/alert-rules/:id	src/modules/alerts/controllers/alert-rules.controller.ts:97	remove	alert_rules.delete	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/alert-rules/:id	src/modules/alerts/controllers/alert-rules.controller.ts:70	detail	alert_rules.read	JwtAuthGuard,PermissionsGuard	
PATCH	/api/v1/alert-rules/:id	src/modules/alerts/controllers/alert-rules.controller.ts:81	update	alert_rules.update	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/analytics/attendance/on-time-rate	src/modules/analytics/controllers/on-time-rate.controller.ts:40	getOnTimeRate	analytics.attendance.read	JwtAuthGuard,PermissionsGuard|JwtAuthGuard,PermissionsGuard	
GET	/api/v1/analytics/attendance/on-time-rate/users/:userId/late-history	src/modules/analytics/controllers/on-time-rate.controller.ts:94	getLateHistory	'analytics.attendance.read'(class)	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/analytics/dashboard/overview	src/modules/analytics/controllers/dashboard-overview.controller.ts:34	getOverview	analytics.overview.read	JwtAuthGuard,PermissionsGuard|JwtAuthGuard,PermissionsGuard	
