METHOD	PATH	FILE:LINE	FUNC	QS
GET	/admin/biometric-submissions	src/service/avatarReviewService.js:9	query	QS
GET	/admin/biometric-submissions/:param	src/service/avatarReviewService.js:13	getAvatarSubmissionDetail	
POST	/admin/biometric-submissions/:param/approve	src/service/avatarReviewService.js:19	approveAvatarSubmission	
GET	/admin/biometric-submissions/:param/download-url	src/service/avatarReviewService.js:16	getAvatarDownloadUrl	
POST	/admin/biometric-submissions/:param/reject	src/service/avatarReviewService.js:22	rejectAvatarSubmission	
GET	/admin/gate-access-logs	src/service/sysAdminServices.js:390	query	QS
GET	/alert-rules	src/service/alertRuleService.js:17	query	QS
POST	/alert-rules	src/service/alertRuleService.js:34	createAlertRule	
GET	/alert-rules/:param	src/service/alertRuleService.js:25	getAlertRuleById	
PATCH	/alert-rules/:param	src/service/alertRuleService.js:43	updateAlertRule	
GET	/analytics/attendance/on-time-rate	src/service/businessAdminServices.js:19	query	QS
GET	/analytics/attendance/on-time-rate	src/service/businessAdminServices.js:34	query	QS
GET	/analytics/attendance/on-time-rate	src/service/managerServices.js:33	query	QS
GET	/analytics/attendance/on-time-rate	src/service/sysAdminServices.js:32	query	QS
GET	/analytics/attendance/on-time-rate/users/:param/late-history	src/pages/shared/EmployeeOnTimeAnalytics.jsx:65	res	QS
GET	/analytics/dashboard/overview	src/service/businessAdminServices.js:9	query	QS
GET	/analytics/dashboard/overview	src/service/managerServices.js:13	query	QS
GET	/analytics/dashboard/overview	src/service/sysAdminServices.js:12	getDashboardOverview	
GET	/analytics/meetings/average-duration	src/service/businessAdminServices.js:49	query	QS
GET	/analytics/meetings/average-duration	src/service/managerServices.js:57	query	QS
GET	/analytics/meetings/cancel-rate	src/service/businessAdminServices.js:54	query	QS
GET	/analytics/meetings/cancel-rate	src/service/managerServices.js:65	query	QS
GET	/analytics/meetings/count-by-period	src/service/businessAdminServices.js:39	query	QS
GET	/analytics/meetings/count-by-period	src/service/managerServices.js:41	query	QS
